Name, Alter, Geschlecht
Max Mustermann, 33, m
Selina Hellmann, 12, w
Chiara Herschlag, 5, w
Benjamin Mustermann, 9, m
Ulrike Mustermann, 3, w
Jürgen Hattendorf, 56, m
Hermina Imhoff, 81, w
Elsa Staudinger, 2, w
Laura Schmuck, 7, w
Christopher Bernbaum, 7, m
Fabio Kollmann, 4, m
Albrecht Lerner, 72, m
Harri Ober, 45, m
Timo Littauer, 11, m
Luzia Honigmann, 5, w
Ivonne Schulte, 3, w
Saskia Kassebaum, 10, w
Rahel Heldmann, 23, w
Bernhardt Jentzsch, 37, m
Ralf Kant, 5, m
Emmerich Fendler, 2, m
Bruno Weingaertner, 8, m
Sara Blumenberg, 18, w
